# Customization for Sites;;;;;
#;;;;;
# --- BOMBARDIER TRANSPORTATION FUNCTIONAL DESIGN BASELINE ---;;;;;
#;;;;;
# Exchange IDs;;;;;
#;;;;;
#VALUEENTRY;DOMAINID;DM1;3;;
#VALUEENTRY;DESC;VE10;3;;
#VALUEENTRY;ID;VE2;3;;
#VALUEENTRY;VALUE;VE3;3;;
#VALUEENTRY;SELECTOR;VE4;3;;
#VALUEENTRY;DATATYPE;VE5;7;;
#VALUEENTRY;ORDINAL;VE6;7;;
#;Value;Selector;Description;Datatype;Ordinal
VALUEENTRY.VE2;DM1;VE3;VE4;VE10;VE5;VE6
# SBB
HLFG;SBB;AUX;;;3;10
HLFG;SBB;DBC;;;3;20
HLFG;SBB;DIA;;;3;30
HLFG;SBB;DRS;;;3;40
HLFG;SBB;HVAC;;;3;50
HLFG;SBB;MPW;;;3;60
HLFG;SBB;PIES;;;3;70
HLFG;SBB;SPL;;;3;80
HLFG;SBB;TC;;;3;90
HLFG;SBB;TPT;;;3;100
HLFG;SBB;VISU;;;3;110
# DOSTO
HLFG;DOSTO2010;AUXY;;;3;10
HLFG;DOSTO2010;DBC;;;3;20
HLFG;DOSTO2010;SPL;;;3;30
HLFG;DOSTO2010;DRS;;;3;40
HLFG;DOSTO2010;HVAC;;;3;50
HLFG;DOSTO2010;MPW;;;3;60
HLFG;DOSTO2010;PIS;;;3;70
HLFG;DOSTO2010;PISO;;;3;80
HLFG;DOSTO2010;TC;;;3;90
HLFG;DOSTO2010;TPT;;;3;100
HLFG;DOSTO2010;DIA;;;3;110
HLFG;DOSTO2010;TWCS;;;3;120
HLFG;DOSTO2010;CCTV;;;3;130
HLFG;DOSTO2010;VSO;;;3;140
HLFG;DOSTO2010;VISU;;;3;140
# FBLCI
FBLCI;@;x;;included;3;10
FBLCI;@;0;;excluded;3;20
FBLCI;@;m;;nice to have;3;30
