# Entries for Object Message Types;;;;;;;;;
#;;;;;;;;;
# --- STANDARD ---;;;;;;;;;
#;;;;;;;;;
# Exchange IDs;;;;;;;;;
#;;;;;;;;;
#DM1;OBJECTMESSAGETYPE;DOMAINID;domain identifier;3;;;;;
#OMD1;OBJECTMESSAGETYPE;UID;unique identifier of the object message;7;;;;;
#OMD10;OBJECTMESSAGETYPE;STATUSTYPES;resulting status types of the object message;2;;;;;
#OMD2;OBJECTMESSAGETYPE;AREA;area of the object message;3;;;;;
#OMD20;OBJECTMESSAGETYPE;STATUSCODES;resulting status codes of the object message;2;;;;;
#OMD3;OBJECTMESSAGETYPE;WEIGHT;weight of the object message;1;;;;;
#OMD4;OBJECTMESSAGETYPE;TYPEID;type of the object message;3;;;;;   [Error] = 1        Info = 3        Attention = 2        Warning = 4
#OMD5;OBJECTMESSAGETYPE;MESSAGE;message text of the object message;3;;;;;
#OMD6;OBJECTMESSAGETYPE;DESCRIPTION;additional description and help text of the object message;10;;;;;
#OMD7;OBJECTMESSAGETYPE;ISPERSISTED;true if the messages of this type will be persisted in the log;9;;;;;
#;;;;;;;;;
# HEADER;;;;;;;;;
#;;;;;;;;;
OMD1;DM1;OMD2;OMD5;OMD6;OMD3;OMD4;OMD7;OMD20;OMD10
#;;;;;;;;;
# Message of XChange for an Envelope ;;;;;;;;;
#;;;;;;;;;
1001;@;XCHANGE;primary key of object '%2%' is Nothing in xchange configuration '%1%';Check the XConfiguration why XchangeID is not included;90;Error;false;|R1|;|XCHANGEENVELOPE|
1002;@;XCHANGE;value of primary key entry '%3%' of object '%2' is not in configuration '%1%' or envelope;;90;Error;false;|R1|;|XCHANGEENVELOPE|
1003;@;XCHANGE;object of type '%2%' with primary key '%3%' doesnot exists in xchange configuration '%1%' - the operation cannot be performed;;90;Error;false;|R1|;|XCHANGEENVELOPE|
1004;@;XCHANGE;object of type '%2%' with primary key '%3%' doesnot exists in xchange configuration '%1%' - a new object will be created;;10;Info;false;|G2|;|XCHANGEENVELOPE|
1005;@;XCHANGE;xchange command '%3%' is not implemented by routine for objectid '%2%' in xchange configuration '%1%' - see sessionlog;;90;Error;false;|R1|;|XCHANGEENVELOPE|
1006;@;XCHANGE;object entry '%2%.%3%' with value '%4%': object entry properties could not be applied in xchange configuration '%1';This might be a misconfiguration of the OnTrack Database.See your system Ontrack Administrator for support.;50;Warning;false;|Y1|;|XCHANGEENVELOPE|
1007;@;XCHANGE;object of type '%2%' with primary key '%3%' from xchange configuration '%1%'  doesnot exists in the database - operation '%4%' aborted;;90;Error;false;|G2|;|XCHANGEENVELOPE|
1008;@;XCHANGE;object of type '%2%' with primary key '%3%' from xchange configuration '%1%'  doesnot exists in the database - operation '%4%' obsolete;;50;Error;false;|Y1|;|XCHANGEENVELOPE|
1009;@;XCHANGE;object of type '%2%' has no primary key in object repository from xchange configuration '%1%'  - operation '%3%' aborted;;90;Error;false;|R1|;|XCHANGEENVELOPE|
1010;@;XCHANGE;mqf operation '%2%' in xchange configuration '%1%' is invalid - operation '%2%' aborted;;90;Error;false;|R1|;|XCHANGEENVELOPE|
1011;@;XCHANGE;mqf operation is missing - message not processed;;80;Error;false;|R1|;|XCHANGEENVELOPE|
#;;;;;;;;;
# Success Messages in an Envelope;;;;;;;;;
#;;;;;;;;;
