# Customization for Sites;;;;;
#;;;;;
# --- BOMBARDIER TRANSPORTATION FUNCTIONAL DESIGN BASELINE ---;;;;;
#;;;;;
# Exchange IDs;;;;;
#;;;;;
#VALUEENTRY;DOMAINID;DM1;3;;
#VALUEENTRY;DESC;VE10;3;;
#VALUEENTRY;ID;VE2;3;;
#VALUEENTRY;VALUE;VE3;3;;
#VALUEENTRY;SELECTOR;VE4;3;;
#VALUEENTRY;DATATYPE;VE5;7;;
#VALUEENTRY;ORDINAL;VE6;7;;
#;Value;Selector;Description;Datatype;Ordinal
VALUEENTRY.VE2;DM1;VE3;VE4;VE10;VE5;VE6
HLFG;@;AUX;;;3;10
HLFG;@;DBC;;;3;20
HLFG;@;DIA;;;3;30
HLFG;@;DRS;;;3;40
HLFG;@;HVAC;;;3;50
HLFG;@;MPW;;;3;60
HLFG;@;PIES;;;3;70
HLFG;@;SPL;;;3;80
HLFG;@;TC;;;3;90
HLFG;@;TPT;;;3;100
HLFG;@;VISU;;;3;110
FBLCI;@;x;;included;3;10
FBLCI;@;0;;excluded;3;20
FBLCI;@;m;;nice to have;3;30
